IF2006.CFE,,,,,,
time,open,high,low,close,volume,oi
2020/5/11 9:30,3929.8,3933,3927,3930.2,313,48636
2020/5/11 9:31,3930.4,3935.6,3929,3935.2,394,48424
2020/5/11 9:32,3935.4,3943.2,3934.4,3941.6,294,48304
2020/5/11 9:33,3941.6,3945,3940,3940.4,291,48118
2020/5/11 9:34,3940.4,3943,3940,3943,151,48022
2020/5/11 9:35,3942,3943.6,3937.8,3939.4,201,47890
2020/5/11 9:36,3939.2,3942.6,3938.4,3941.2,134,47802
2020/5/11 9:37,3941.6,3950.2,3941.6,3948.6,338,47586
2020/5/11 9:38,3947.8,3950.2,3946.4,3949,295,47397
2020/5/11 9:39,3948.2,3950.2,3946.8,3950,218,47305
2020/5/11 9:40,3950.2,3951,3947,3950.4,227,47196
2020/5/11 9:41,3950,3950.6,3947.8,3947.8,187,47129
2020/5/11 9:42,3948,3949.8,3946.6,3948.4,148,47058
2020/5/11 9:43,3948,3949.6,3948,3949.6,100,47043
2020/5/11 9:44,3949.6,3949.6,3947,3948,80,47024
2020/5/11 9:45,3948,3948.6,3945.6,3946.4,96,46996
2020/5/11 9:46,3946,3949.4,3945,3949.4,101,46995
2020/5/11 9:47,3949.4,3949.6,3947.4,3949,85,46989
2020/5/11 9:48,3948.8,3950.4,3948.8,3949,83,46973
2020/5/11 9:49,3949.2,3954.4,3949,3953.8,214,46932
2020/5/11 9:50,3953.6,3955.8,3953,3954,185,46894
2020/5/11 9:51,3954,3956,3953.6,3954.4,141,46914
2020/5/11 9:52,3954.6,3955,3953,3953,79,46935
2020/5/11 9:53,3953.2,3954,3950.6,3951.8,129,46915
2020/5/11 9:54,3952,3953.6,3950.8,3951,86,46914
2020/5/11 9:55,3951.4,3954,3951.4,3953.8,118,46934
2020/5/11 9:56,3954,3954.6,3947.4,3948.4,175,46904
2020/5/11 9:57,3948,3948.2,3944.2,3944.6,154,46886
2020/5/11 9:58,3944.6,3945,3938.8,3941.6,216,46848
2020/5/11 9:59,3941.6,3943.8,3940.4,3943,175,46830
2020/5/11 10:00,3943.6,3944.8,3942.6,3944.6,126,46795
2020/5/11 10:01,3944.8,3945.6,3942.4,3943.4,92,46791
2020/5/11 10:02,3943.8,3947.2,3943.4,3947.2,113,46737
2020/5/11 10:03,3946.8,3948.4,3945.8,3947,67,46726
2020/5/11 10:04,3948.2,3951.2,3947.6,3949,125,46701
2020/5/11 10:05,3949,3949,3948,3948.6,49,46699
2020/5/11 10:06,3948,3949,3945.6,3945.6,49,46687
2020/5/11 10:07,3944.8,3947.4,3944.8,3946.6,54,46693
2020/5/11 10:08,3946,3947,3944.4,3947,78,46701
2020/5/11 10:09,3947,3947.8,3946.6,3947.2,38,46698
2020/5/11 10:10,3947.8,3948,3944.6,3945.4,67,46696
2020/5/11 10:11,3946.8,3946.8,3944,3945,70,46698
2020/5/11 10:12,3944.4,3946,3944.4,3945.2,48,46720
2020/5/11 10:13,3945,3946,3943,3944,54,46723
2020/5/11 10:14,3943.8,3948.2,3943.8,3947.2,62,46718
2020/5/11 10:15,3946.6,3948,3945,3946.8,102,46745
2020/5/11 10:16,3946.6,3947,3944.6,3945.6,41,46747
2020/5/11 10:17,3945.8,3946,3943.4,3946,34,46755
2020/5/11 10:18,3945.6,3946,3943.4,3943.8,52,46759
2020/5/11 10:19,3944,3945.2,3943,3943,36,46767
2020/5/11 10:20,3943.4,3943.6,3940.4,3941.4,105,46752
2020/5/11 10:21,3941.4,3941.4,3937.8,3938.8,146,46716
2020/5/11 10:22,3938.8,3941.8,3938.4,3941.4,87,46730
2020/5/11 10:23,3941.6,3941.6,3938.4,3938.4,84,46739
2020/5/11 10:24,3939.2,3939.4,3936.8,3937,61,46744
2020/5/11 10:25,3936.8,3937.2,3934,3935.8,155,46718
2020/5/11 10:26,3935,3936.6,3934.4,3934.4,97,46728
2020/5/11 10:27,3934.4,3936,3933.4,3935.6,70,46704
2020/5/11 10:28,3936,3936,3934.2,3934.4,26,46704
2020/5/11 10:29,3934.2,3937.2,3933,3937.2,87,46685
2020/5/11 10:30,3937.2,3939.8,3935.8,3936.2,129,46665
2020/5/11 10:31,3936.8,3936.8,3934.6,3936.8,70,46647
2020/5/11 10:32,3936.2,3937.4,3936,3937.4,34,46643
2020/5/11 10:33,3937.6,3937.6,3935.2,3936.4,23,46631
2020/5/11 10:34,3935.8,3936.6,3933.6,3933.8,40,46628
2020/5/11 10:35,3934.6,3936,3934,3935.6,36,46629
2020/5/11 10:36,3935.6,3939,3935.6,3938.2,66,46626
