===============================================================================
Id,IF,len,datetime,open,high,low,close,volume,openinterest,IC,len,datetime,open,high,low,close,volume,openinterest,CN,len,datetime,open,high,low,close,volume,openinterest,,len,datetime,open,high,low,close,volume,openinterest,,len,datetime,open,high,low,close,volume,openinterest,,len,datetime,open,high,low,close,volume,openinterest,IFICAbsStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,IF,IC,CN,,,
1,IF,1,2022-04-18 09:30:00,4138.2,4138.8,4130.2,4130.8,339500000.0,74808.0,IC,1,2022-04-18 09:30:00,5966.0,5969.2,5924.8,5930.4,258900000.0,99480.0,CN,1,2022-04-18 09:30:00,13792.0,13805.0,13753.0,13761.0,1076500000.0,841328.0,,1,2022-04-18 09:30:00,4152.9306,4152.9306,4135.0645,4135.2662,442759900.0,,,1,2022-04-18 09:30:00,6019.5305,6019.5305,5990.0984,5990.0984,733036800.0,,,1,2022-04-18 09:30:00,13936.08,13936.08,13804.97,13806.82,0.0,,IFICAbsStrategy,1,738263.3958333334,Broker,1,20000000.0,20000000.0,BuySell,1,,,BuySell,1,,,BuySell,1,,,BuySell,1,,,BuySell,1,,,BuySell,1,,,DataTrades,1,,,,,,
2,IF,2,2022-04-18 09:31:00,4130.0,4130.0,4123.0,4128.4,181000000.0,74098.0,IC,2,2022-04-18 09:31:00,5930.0,5931.8,5919.8,5926.6,138700000.0,99230.0,CN,2,2022-04-18 09:31:00,13761.0,13762.0,13740.0,13758.0,391900000.0,841328.0,,2,2022-04-18 09:31:00,4134.6144,4134.6144,4132.7024,4133.5331,185115600.0,,,2,2022-04-18 09:31:00,5988.8621,5988.8621,5981.5694,5983.4163,304816500.0,,,2,2022-04-18 09:31:00,13806.71,13812.16,13796.07,13808.57,0.0,,IFICAbsStrategy,2,738263.3965277778,Broker,2,20000000.0,20000000.0,BuySell,2,,,BuySell,2,,,BuySell,2,,,BuySell,2,,,BuySell,2,,,BuySell,2,,,DataTrades,2,,,,,,
3,IF,3,2022-04-18 09:32:00,4128.4,4132.4,4126.4,4129.8,98300000.0,73784.0,IC,3,2022-04-18 09:32:00,5926.4,5940.0,5926.0,5936.0,109100000.0,98978.0,CN,3,2022-04-18 09:32:00,13756.0,13756.0,13738.0,13749.0,162900000.0,841328.0,,3,2022-04-18 09:32:00,4133.3096,4134.1419,4132.266,4133.5823,162229100.0,,,3,2022-04-18 09:32:00,5983.1838,5983.5503,5980.4462,5983.5503,265219200.0,,,3,2022-04-18 09:32:00,13808.34,13811.51,13790.2,13794.22,0.0,,IFICAbsStrategy,3,738263.3972222222,Broker,3,9061195.999999994,19981195.999999993,BuySell,3,,4194.3859999999995,BuySell,3,5837.11,,BuySell,3,13531.93,,BuySell,3,,,BuySell,3,,,BuySell,3,,,DataTrades,3,,,,,,
4,IF,4,2022-04-18 09:33:00,4128.2,4132.2,4125.8,4130.2,92800000.0,73523.0,IC,4,2022-04-18 09:33:00,5935.4,5936.0,5924.8,5934.2,99700000.0,98723.0,CN,4,2022-04-18 09:33:00,13748.0,13756.0,13733.0,13752.0,214100000.0,841328.0,,4,2022-04-18 09:33:00,4133.8004,4134.3362,4131.694,4134.1802,173266000.0,,,4,2022-04-18 09:33:00,5983.424,5985.589,5979.4693,5984.8167,258378400.0,,,4,2022-04-18 09:33:00,13794.44,13798.46,13780.36,13791.21,0.0,,IFICAbsStrategy,4,738263.3979166667,Broker,4,7238441.999999998,19978442.0,BuySell,4,,4194.182999999999,BuySell,4,5835.928,,BuySell,4,13527.005,,BuySell,4,,,BuySell,4,,,BuySell,4,,,DataTrades,4,,,,,,
5,IF,5,2022-04-18 09:34:00,4130.0,4135.0,4129.4,4132.4,112300000.0,73093.0,IC,5,2022-04-18 09:34:00,5934.0,5945.0,5931.0,5938.6,89800000.0,98607.0,CN,5,2022-04-18 09:34:00,13750.0,13791.0,13745.0,13782.0,429100000.0,841328.0,,5,2022-04-18 09:34:00,4134.2918,4137.8495,4134.2918,4135.8485,146187800.0,,,5,2022-04-18 09:34:00,5985.0297,5988.2196,5977.3611,5977.3611,225170000.0,,,5,2022-04-18 09:34:00,13791.33,13808.67,13790.12,13805.05,0.0,,IFICAbsStrategy,5,738263.3986111111,Broker,5,7304942.000000002,20044942.0,BuySell,5,,,BuySell,5,,,BuySell,5,,,BuySell,5,,,BuySell,5,,,BuySell,5,,,DataTrades,5,,,,,,
6,IF,6,2022-04-18 09:35:00,4132.4,4132.4,4125.8,4126.4,86400000.0,72848.0,IC,6,2022-04-18 09:35:00,5938.2,5938.2,5930.0,5932.2,87700000.0,98469.0,CN,6,2022-04-18 09:35:00,13781.0,13782.0,13757.0,13758.0,198600000.0,841328.0,,6,2022-04-18 09:35:00,4134.4079,4134.4079,4130.9052,4131.521,137000900.0,,,6,2022-04-18 09:35:00,5976.4956,5978.3558,5975.4455,5977.0478,203050600.0,,,6,2022-04-18 09:35:00,13804.99,13814.75,13795.66,13799.23,0.0,,IFICAbsStrategy,6,738263.3993055555,Broker,6,7297102.0,20037102.0,BuySell,6,,,BuySell,6,,,BuySell,6,,,BuySell,6,,,BuySell,6,,,BuySell,6,,,DataTrades,6,,,,,,
7,IF,7,2022-04-18 09:36:00,4126.0,4134.4,4125.8,4134.4,63500000.0,72642.0,IC,7,2022-04-18 09:36:00,5932.6,5949.4,5932.6,5949.4,61700000.0,98254.0,CN,7,2022-04-18 09:36:00,13758.0,13774.0,13754.0,13773.0,202800000.0,841328.0,,7,2022-04-18 09:36:00,4131.2745,4137.1674,4131.2745,4137.1674,119440800.0,,,7,2022-04-18 09:36:00,5977.3564,5986.9385,5977.3564,5986.9385,182030700.0,,,7,2022-04-18 09:36:00,13799.4,13805.83,13793.65,13805.57,0.0,,IFICAbsStrategy,7,738263.4,Broker,7,7285411.999999999,20025412.0,BuySell,7,,,BuySell,7,,,BuySell,7,,,BuySell,7,,,BuySell,7,,,BuySell,7,,,DataTrades,7,,,,,,
8,IF,8,2022-04-18 09:37:00,4134.0,4137.0,4133.0,4136.8,90300000.0,72518.0,IC,8,2022-04-18 09:37:00,5950.6,5962.0,5948.2,5961.4,67400000.0,98098.0,CN,8,2022-04-18 09:37:00,13774.0,13786.0,13770.0,13784.0,166700000.0,841328.0,,8,2022-04-18 09:37:00,4138.3725,4143.2602,4138.3725,4143.2602,106493100.0,,,8,2022-04-18 09:37:00,5989.1199,6000.5828,5989.1199,6000.5828,160091200.0,,,8,2022-04-18 09:37:00,13805.85,13823.03,13803.19,13820.46,0.0,,IFICAbsStrategy,8,738263.4006944444,Broker,8,7318801.999999993,20058801.999999993,BuySell,8,,,BuySell,8,,,BuySell,8,,,BuySell,8,,,BuySell,8,,,BuySell,8,,,DataTrades,8,,,,,,
9,IF,9,2022-04-18 09:38:00,4136.6,4137.2,4135.0,4136.4,58800000.0,72325.0,IC,9,2022-04-18 09:38:00,5961.2,5961.2,5952.0,5955.8,51900000.0,97988.0,CN,9,2022-04-18 09:38:00,13783.0,13790.0,13777.0,13790.0,115900000.0,841328.0,,9,2022-04-18 09:38:00,4143.5182,4144.4117,4142.8779,4143.6821,107148100.0,,,9,2022-04-18 09:38:00,6001.3709,6004.3338,6001.3709,6004.3338,160619700.0,,,9,2022-04-18 09:38:00,13820.52,13834.51,13820.36,13829.55,0.0,,IFICAbsStrategy,9,738263.401388889,Broker,9,7324542.000000001,20064542.0,BuySell,9,,,BuySell,9,,,BuySell,9,,,BuySell,9,,,BuySell,9,,,BuySell,9,,,DataTrades,9,,,,,,
10,IF,10,2022-04-18 09:39:00,4136.6,4137.0,4133.0,4135.2,65500000.0,72211.0,IC,10,2022-04-18 09:39:00,5957.4,5957.6,5949.2,5952.6,34600000.0,97963.0,CN,10,2022-04-18 09:39:00,13789.0,13789.0,13777.0,13781.0,108600000.0,841328.0,,10,2022-04-18 09:39:00,4142.9574,4143.2745,4139.3168,4139.7136,110030700.0,,,10,2022-04-18 09:39:00,6005.2963,6005.2963,6003.0356,6003.1971,157752100.0,,,10,2022-04-18 09:39:00,13829.65,13833.87,13812.92,13818.06,0.0,,IFICAbsStrategy,10,738263.4020833333,Broker,10,7306132.0,20046132.0,BuySell,10,,,BuySell,10,,,BuySell,10,,,BuySell,10,,,BuySell,10,,,BuySell,10,,,DataTrades,10,,,,,,
